agent,game,seed,score,max_tile,moves,corner_occupancy,snake_score
DQN_compare,58,10057,2392,256,201,92.03980099502488,0.8229826036039691
DQN_compare,59,10058,728,64,92,100.0,0.8022944906670703
DQN_compare,60,10059,124,16,36,100.0,0.7616374557012792
DQN_compare,61,10060,2336,128,213,100.0,0.8538071783754583
DQN_compare,62,10061,3672,256,298,99.66442953020135,0.8581810724596043
DQN_compare,63,10062,1600,128,167,0.0,0.7683444105631219
DQN_compare,64,10063,516,64,75,40.0,0.8202881929137714
DQN_compare,65,10064,948,64,113,100.0,0.8260786476061337
DQN_compare,66,10065,2064,128,196,98.46938775510205,0.8254917567984044
DQN_compare,67,10066,1276,128,130,96.15384615384616,0.8126432357261059
DQN_compare,68,10067,1188,64,137,92.7007299270073,0.8121388763956904
DQN_compare,69,10068,672,32,96,44.791666666666664,0.7689472700146484
DQN_compare,70,10069,1104,64,122,99.18032786885246,0.783902813156778
DQN_compare,71,10070,212,32,42,64.28571428571429,0.783456526885808
DQN_compare,72,10071,1620,128,168,97.02380952380952,0.7971987630070869
DQN_compare,73,10072,1680,128,172,93.02325581395348,0.8393452542330833
DQN_compare,74,10073,856,64,110,93.63636363636364,0.820315234539367
DQN_compare,75,10074,1592,128,158,98.73417721518987,0.8279988185968052
DQN_compare,76,10075,972,64,113,70.79646017699115,0.792866441822673
DQN_compare,77,10076,2048,128,205,93.17073170731707,0.8515527462939322
DQN_compare,78,10077,584,32,90,100.0,0.8033270595728227
DQN_compare,79,10078,1476,128,153,52.94117647058823,0.7549488841759835
DQN_compare,80,10079,584,64,79,98.73417721518987,0.8112758704632278
DQN_compare,81,10080,604,32,87,96.55172413793103,0.818785434899567
DQN_compare,82,10081,600,32,88,82.95454545454545,0.7787128774337149
DQN_compare,83,10082,1024,128,111,39.63963963963964,0.7945028058384166
DQN_compare,84,10083,2904,256,241,96.2655601659751,0.8493693837946553
DQN_compare,85,10084,1568,128,164,68.90243902439025,0.7745974425282205
DQN_compare,86,10085,2460,256,213,99.06103286384976,0.830568256210087
DQN_compare,87,10086,1076,128,113,83.1858407079646,0.8194352394948163
DQN_compare,88,10087,556,64,78,97.43589743589743,0.8073485928956928
DQN_compare,89,10088,724,64,94,95.74468085106383,0.8305318594707967
DQN_compare,90,10089,1964,128,178,100.0,0.8156328836976632
DQN_compare,91,10090,504,32,76,100.0,0.8203508504909611
DQN_compare,92,10091,1240,128,129,99.2248062015504,0.8213368615674419
DQN_compare,93,10092,1356,128,144,88.88888888888889,0.7807711891462348
DQN_compare,94,10093,728,64,97,95.87628865979381,0.8054541262790523
DQN_compare,95,10094,912,64,112,99.10714285714286,0.8181179977439745
DQN_compare,96,10095,5568,256,428,99.76635514018692,0.8629534303641401
DQN_compare,97,10096,2524,256,219,99.54337899543378,0.8409335823064407
DQN_compare,98,10097,1744,128,176,100.0,0.8625325526807495
DQN_compare,99,10098,1920,128,188,99.46808510638297,0.8503239935337681
DQN_compare,100,10099,592,32,89,98.87640449438203,0.7918890190387416
